plot_code,sub_plot,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_MgC_ha_year,twigs_MgC_ha_year,flowers_MgC_ha_year,fruits_MgC_ha_year,seeds_MgC_ha_year,outros_MgC_ha_year,total_litterfall_MgC_ha_year,date,DaysBetween
ESA-04,7,2018,1,4,4.7,0.25,0.2235625,1.4308,0,0,0,0,1.6543625,04/01/2018,16
ESA-04,8,2018,1,4,4.8,0.25,0.20120625,0,0,0,0,0,0.20120625,04/01/2018,16
ESA-04,9,2018,1,4,4.9,0.25,0.554435,0.0268275,0.37111375,0,0,0,0.95237625,04/01/2018,16
ESA-04,12,2018,1,4,4.12,0.25,0.4202975,0.089425,0,0,0,0,0.5097225,04/01/2018,16
ESA-04,13,2018,1,4,4.13,0.25,0.5276075,0,0,0.053655,0,0,0.5812625,04/01/2018,16
ESA-04,14,2018,1,4,4.14,0.25,0.31745875,0.05812625,0,0,0,0,0.375585,04/01/2018,16
ESA-04,17,2018,1,4,4.17,0.25,0.2772175,2.20432625,0,0,0,0,2.48154375,04/01/2018,16
ESA-04,18,2018,1,4,4.18,0.25,0.3577,1.05074375,0,0,0,0,1.40844375,04/01/2018,16
ESA-04,19,2018,1,4,4.19,0.25,0.017885,0,0,0,0,0,0.017885,04/01/2018,16
ESA-04,7,2018,1,19,4.7,0.25,0.119233333,0.066770667,0,0,0,0,0.186004,19/01/2018,15
ESA-04,8,2018,1,19,4.8,0.25,0.152618667,0.338622667,0,0.047693333,0,0,0.538934667,19/01/2018,15
ESA-04,9,2018,1,19,4.9,0.25,0.295698667,0,0.009538667,0,0,0,0.305237333,19/01/2018,15
ESA-04,12,2018,1,19,4.12,0.25,0.963405333,0.009538667,0,0,0,0,0.972944,19/01/2018,15
ESA-04,13,2018,1,19,4.13,0.25,0.505549333,0,0,0.181234667,0,0,0.686784,19/01/2018,15
ESA-04,14,2018,1,19,4.14,0.25,0.28616,0,0,0.004769333,0,0,0.290929333,19/01/2018,15
ESA-04,17,2018,1,19,4.17,0.25,1.211410667,0.081078667,0,0,0,0,1.292489333,19/01/2018,15
ESA-04,18,2018,1,19,4.18,0.25,0.310006667,0.400624,0,0,0,0,0.710630667,19/01/2018,15
ESA-04,19,2018,1,19,4.19,0.25,0.038154667,0.07154,0,0,0,0,0.109694667,19/01/2018,15
ESA-04,7,2018,1,31,4.7,0.25,1.013483333,0,0,0,0,0,1.013483333,31/01/2018,12
ESA-04,8,2018,1,31,4.8,0.25,0.196735,0.149041667,0,0,0,0,0.345776667,31/01/2018,12
ESA-04,9,2018,1,31,4.9,0.25,0.202696667,0.46501,0,0,0,0,0.667706667,31/01/2018,12
ESA-04,12,2018,1,31,4.12,0.25,0.900211667,0,0,0,0,0,0.900211667,31/01/2018,12
ESA-04,13,2018,1,31,4.13,0.25,0.119233333,0,0,0,1.102908333,0,1.222141667,31/01/2018,12
